in s,C1 in V
-3.0627207,0.4069684
-3.0626749,0.4103253
-3.0626291,0.4120038
-3.0625833,0.4138348
-3.0625375,0.4171918
-3.0624918,0.4182599
-3.062446,0.4210065
-3.0624002,0.4237531
-3.0623544,0.4252789
-3.0623086,0.4280255
-3.0622628,0.4293988
-3.0622171,0.4318402
-3.0621713,0.4339764
-3.0621255,0.4359601
-3.0620797,0.4380963
-3.0620339,0.4399274
-3.0619881,0.4425214
-3.0619424,0.4437421
-3.0618966,0.4463361
-3.0618508,0.4478619
-3.061805,0.4495404
-3.0617592,0.4518292
-3.0617134,0.4532025
-3.0616676,0.454881
-3.0616219,0.4570172
-3.0615761,0.4583905
-3.0615303,0.4608319
-3.0614845,0.4628156
-3.0614387,0.464494
-3.0613929,0.4658673
-3.0613472,0.4681561
-3.0613014,0.4698346
-3.0612556,0.4702924
-3.0612098,0.4715131
-3.061164,0.4724286
-3.0611182,0.4744122
-3.0610725,0.4765485
-3.0610267,0.4782269
-3.0609809,0.4794476
-3.0609351,0.4811261
-3.0608893,0.481889
-3.0608435,0.4823468
-3.0607978,0.4840253
-3.060752,0.4847882
-3.0607062,0.4863141
-3.0606604,0.4879926
-3.0606146,0.4884503
-3.0605688,0.4895184
-3.060523,0.4913495
-3.0604773,0.4933331
-3.0604315,0.4947064
-3.0603857,0.4956219
-3.0603399,0.4969952
-3.0602941,0.4979108
-3.0602483,0.4998944
-3.0602026,0.5003522
-3.0601568,0.5012677
-3.060111,0.5032513
-3.0600652,0.5050824
-3.0600194,0.5059979
-3.0599736,0.5069135
-3.0599279,0.5075238
-3.0598821,0.5084393
-3.0598363,0.5092023
-3.0597905,0.5102704
-3.0597447,0.510423
-3.0596989,0.5117963
-3.0596532,0.513017
-3.0596074,0.5134747
-3.0595616,0.5142377
-3.0595158,0.514848
-3.05947,0.5151532
-3.0594242,0.5157635
-3.0593784,0.5160687
-3.0593327,0.5172894
-3.0592869,0.5175946
-3.0592411,0.5175946
-3.0591953,0.5177472
-3.0591495,0.5180524
-3.0591037,0.5180524
-3.059058,0.5180524
-3.0590122,0.5171368
-3.0589664,0.5175946
-3.0589206,0.5177472
-3.0588748,0.518205
-3.058829,0.5188153
-3.0587833,0.5180524
-3.0587375,0.518205
-3.0586917,0.5171368
-3.0586459,0.5168317
-3.0586001,0.5177472
-3.0585543,0.5177472
-3.0585086,0.5175946
-3.0584628,0.5178998
-3.058417,0.5171368
-3.0583712,0.5163739
-3.0583254,0.5157635
-3.0582796,0.514848
-3.0582338,0.5146954
-3.0581881,0.5142377
-3.0581423,0.5136273
-3.0580965,0.5136273
-3.0580507,0.5131696
-3.0580049,0.5128644
-3.0579591,0.5125592
-3.0579134,0.512254
