Status_RPM_V1,Status_TotalCurrent_V1,Status_DutyCycle_V1,Status_RPM_V2,Status_TotalCurrent_V2,Status_DutyCycle_V2,TorqueValue
-52.99999894,0.0,-2.9000000000000004,50.7142847,-0.5700000000000001,0.0,0
0.57142856,0.0,1.1,50.42857042,-0.19000000000000003,0.0,0
30.428570819999997,0.0,4.4,-42.1428563,-0.6400000000000001,0.0,0
48.428570459999996,0.0,2.8000000000000003,-45.42857052,-0.09000000000000001,0.0,0
3.28571422,0.0,-0.30000000000000004,2.71428566,-0.07,0.0,0
-11.71428548,0.0,-2.4000000000000004,22.1428567,-0.4600000000000001,0.0,0
-11.71428548,0.0,-2.4000000000000004,22.1428567,-0.4600000000000001,0.0,0
-79.71428412,0.0,-5.1000000000000005,22.1428567,-0.4600000000000001,0.0,0
-69.71428431999999,0.0,-1.0,-3.9999999199999996,-0.29000000000000004,0.0,0
28.428570859999997,0.0,6.7,-56.4285703,-1.4500000000000002,0.0,0
83.42856976,0.0,8.200000000000001,-97.71428376,-1.2700000000000002,0.0,0
83.42856976,0.0,8.200000000000001,-93.28571242,-0.44000000000000006,0.0,0
-13.99999972,0.0,-4.1000000000000005,-93.28571242,-0.44000000000000006,0.0,0
-113.85714057999999,0.0,-9.0,112.42856918,-1.6100000000000003,0.0,0
-113.5714263,0.0,-3.3000000000000003,114.9999977,-0.6100000000000001,0.0,0
14.9999997,0.0,5.0,-12.571428319999999,-0.6800000000000002,0.0,0
14.9999997,0.0,5.0,-72.99999853999999,-1.7300000000000002,0.0,0
122.42856898,0.0,8.3,-109.42856924,-0.27,0.0,0
-19.571428179999998,0.0,-5.0,17.714285359999998,-0.7000000000000001,0.0,0
-77.28571274,0.0,-9.700000000000001,74.85714136,-1.6100000000000003,0.0,0
-77.28571274,0.0,-9.700000000000001,74.85714136,-1.6100000000000003,0.0,0
40.714284899999996,0.0,5.2,74.85714136,-1.6100000000000003,0.0,0
56.142856019999996,0.0,2.6,-51.99999896,-0.6900000000000001,0.0,0
7.7142855599999995,0.0,-0.30000000000000004,0.85714284,-0.010000000000000002,0.0,0
-0.9999999799999999,0.0,-0.1,1.14285712,0.0,0.0,0
-0.85714284,0.0,0.0,0.57142856,0.0,0.0,0
