in s,C1 in V
-3.0583712,0.2371381
-3.0583254,0.2691815
-3.0582796,0.3018353
-3.0582338,0.3331158
-3.0581881,0.3651593
-3.0581423,0.3975079
-3.0580965,0.4310773
-3.0580507,0.4620526
-3.0580049,0.4947064
-3.0579591,0.5255292
-3.0579134,0.5568097
-3.0578676,0.5883954
-3.0578218,0.6187604
-3.057776,0.6498883
-3.0577302,0.6807111
-3.0576844,0.7095502
-3.0576387,0.7402203
-3.0575929,0.7710431
-3.0575471,0.8007977
-3.0575013,0.830705
-3.0574555,0.858476
-3.0574097,0.8871625
-3.057364,0.9129498
-3.0573182,0.9390424
-3.0572724,0.9628461
-3.0572266,0.986192
-3.0571808,1.009233
-3.057135,1.032884
-3.0570892,1.055467
-3.0570435,1.076982
-3.0569977,1.098954
-3.0569519,1.120775
-3.0569061,1.141984
-3.0568603,1.161973
-3.0568145,1.183183
-3.0567688,1.203019
-3.056723,1.223008
-3.0566772,1.241014
-3.0566314,1.260087
-3.0565856,1.277635
-3.0565398,1.295793
-3.0564941,1.314714
-3.0564483,1.330278
-3.0564025,1.345536
-3.0563567,1.3611
-3.0563109,1.375444
-3.0562651,1.389177
-3.0562194,1.401536
-3.0561736,1.413438
-3.0561278,1.424577
-3.056082,1.436479
-3.0560362,1.446397
-3.0559904,1.456468
-3.0559446,1.466386
-3.0558989,1.476915
-3.0558531,1.486375
-3.0558073,1.495988
-3.0557615,1.506517
-3.0557157,1.516435
-3.0556699,1.525895
-3.0556242,1.537034
-3.0555784,1.548173
-3.0555326,1.559465
-3.0554868,1.572282
-3.055441,1.585557
-3.0553952,1.598527
-3.0553495,1.611345
-3.0553037,1.62523
-3.0552579,1.639421
-3.0552121,1.655595
-3.0551663,1.670549
-3.0551205,1.68596
-3.0550748,1.700303
-3.055029,1.715104
-3.0549832,1.728837
-3.0549374,1.740892
-3.0548916,1.752641
-3.0548458,1.761949
-3.0548,1.771714
-3.0547543,1.779344
-3.0547085,1.786668
-3.0546627,1.792314
-3.0546169,1.796891
-3.0545711,1.799943
-3.0545253,1.803148
-3.0544796,1.805742
-3.0544338,1.807878
-3.054388,1.809404
-3.0543422,1.809861
-3.0542964,1.81154
-3.0542506,1.813218
-3.0542049,1.815355
-3.0541591,1.817491
-3.0541133,1.819322
-3.0540675,1.821
-3.0540217,1.823747
-3.0539759,1.826341
-3.0539302,1.829393
-3.0538844,1.831987
-3.0538386,1.835496
-3.0537928,1.838853
-3.053747,1.84221
-3.0537012,1.843889
-3.0536554,1.84572
-3.0536097,1.847245
-3.0535639,1.848008
-3.0535181,1.846635
-3.0534723,1.844651
-3.0534265,1.842057
-3.0533807,1.837327
-3.053335,1.831224
-3.0532892,1.824205
-3.0532434,1.814897
-3.0531976,1.804826
-3.0531518,1.793382
-3.053106,1.779191
-3.0530603,1.763627
-3.0530145,1.748063
-3.0529687,1.730974
-3.0529229,1.711442
-3.0528771,1.690385
-3.0528313,1.669481
-3.0527856,1.647508
-3.0527398,1.625078
-3.052694,1.602495
-3.0526482,1.579149
-3.0526024,1.556413
-3.0525566,1.53383
-3.0525108,1.51201
-3.0524651,1.490037
-3.0524193,1.46959
-3.0523735,1.450212
-3.0523277,1.430681
-3.0522819,1.411607
-3.0522361,1.392381
-3.0521904,1.372545
-3.0521446,1.354234
-3.0520988,1.33455
-3.052053,1.314561
-3.0520072,1.294877
-3.0519614,1.275041
-3.0519157,1.254747
-3.0518699,1.232469
-3.0518241,1.209276
-3.0517783,1.185777
-3.0517325,1.160142
-3.0516867,1.134507
-3.051641,1.109178
-3.0515952,1.081254
-3.0515494,1.054704
-3.0515036,1.028611
-3.0514578,1.002061
-3.051412,0.976579
-3.0513662,0.9524701
-3.0513205,0.9285138
-3.0512747,0.9069989
-3.0512289,0.8851788
-3.0511831,0.8633588
-3.0511373,0.8426068
-3.0510915,0.8226178
-3.0510458,0.8026288
-3.051,0.7841656
